,wWAR
Jim McCormick,104
Gene Tenace,104
Elmer Flick,104
Willie Stargell,104
Orel Hershiser,103
Charlie Bennett,103
Willie Davis,103
Robin Ventura,103
Tommy Bond,103
Joe Tinker,103
Thurman Munson,102
Will Clark,102
Wilbur Wood,102
Larry Doby,102
John Olerud,102
Jeff Kent,102
Charlie Buffinton,102
Cole Hamels,102
Sandy Koufax,102
King Kelly,102
César Cedeño,102
Jimmy Collins,101
Nap Rucker,101
Billy Pierce,101
Ernie Lombardi,100
Ian Kinsler,100
Eppa Rixey,100
